Stay,Age,Infection.Risk,XRay,Beds,Nurses
7.13,55.7,4.1,39.6,279,241
8.82,58.2,1.6,51.7,80,52
8.34,56.9,2.7,74,107,54
8.95,53.7,5.6,122.8,147,148
11.2,56.5,5.7,88.9,180,151
9.76,50.9,5.1,97,150,106
9.68,57.8,4.6,79,186,129
11.18,45.7,5.4,85.8,640,360
8.67,48.2,4.3,90.8,182,118
8.84,56.3,6.3,82.6,85,66
11.07,53.2,4.9,122,768,656
8.3,57.2,4.3,83.8,167,59
12.78,56.8,7.7,116.9,322,349
7.58,56.7,3.7,88,97,79
9,56.3,4.2,76.4,72,38
11.08,50.2,5.5,63.6,387,405
8.28,48.1,4.5,101.8,108,73
11.62,53.9,6.4,99.2,133,101
9.06,52.8,4.2,75.9,134,125
9.35,53.8,4.1,80.9,833,519
7.53,42,4.2,98.9,95,49
10.24,49,4.8,112.6,195,170
9.78,52.3,5,95.9,270,198
9.84,62.2,4.8,82.3,600,497
9.2,52.2,4,71.1,298,236
8.28,49.5,3.9,113.1,546,436
9.31,47.2,4.5,101.3,170,173
8.19,52.1,3.2,59.2,176,88
11.65,54.5,4.4,96.1,248,189
9.89,50.5,4.9,103.6,167,106
11.03,49.9,5,102.1,318,335
9.84,53,5.2,72.6,210,239
11.77,54.1,5.3,56,196,165
13.59,54,6.1,111.7,312,169
9.74,54.4,6.3,76.1,221,172
10.33,55.8,5,104.3,266,149
9.97,58.2,2.8,76.5,90,42
7.84,49.1,4.6,87.9,60,45
10.47,53.2,4.1,69.1,196,153
8.16,60.9,1.3,58,73,21
8.48,51.1,3.7,92.8,166,118
10.72,53.8,4.7,94.1,113,107
11.2,45,3,78.9,130,56
10.12,51.7,5.6,79.1,362,264
8.37,50.7,5.5,84.8,115,88
10.16,54.2,4.6,51.5,831,629
19.56,59.9,6.5,113.7,306,172
10.9,57.2,5.5,71.9,593,211
7.67,51.7,1.8,40.4,106,35
8.88,51.5,4.2,86.9,305,197
11.48,57.6,5.6,82,252,251
9.23,51.6,4.3,42.6,620,420
11.41,61.1,7.6,97.9,535,273
12.07,43.7,7.8,105.3,157,76
8.63,54,3.1,56.2,76,44
11.15,56.5,3.9,73.9,281,199
7.14,59,3.7,75.8,70,35
7.65,47.1,4.3,65.7,318,314
10.73,50.6,3.9,101,445,345
11.46,56.9,4.5,97.7,191,132
10.42,58,3.4,59,119,64
11.18,51,5.7,55.9,595,392
7.93,64.1,5.4,98.1,68,49
9.66,52.1,4.4,98.3,83,95
7.78,45.5,5,71.6,489,329
9.42,50.6,4.3,62.8,508,528
10.02,49.5,4.4,93,265,202
8.58,55,3.7,95.9,304,218
9.61,52.4,4.5,87.2,487,220
8.03,54.2,3.5,87.3,97,55
7.39,51,4.2,88.4,72,67
7.08,52,2,56.4,87,57
9.53,51.5,5.2,65.7,298,193
10.05,52,4.5,87.5,184,151
8.45,38.8,3.4,85,235,124
6.7,48.6,4.5,80.8,76,79
8.9,49.7,2.9,86.9,52,35
10.23,53.2,4.9,77.9,752,446
8.88,55.8,4.4,76.8,237,182
10.3,59.6,5.1,88.9,175,73
10.79,44.2,2.9,56.6,461,196
7.94,49.5,3.5,92.3,195,116
7.63,52.1,5.5,61.1,197,110
8.77,54.5,4.7,47,143,87
8.09,56.9,1.7,56.9,92,61
9.05,51.2,4.1,79.8,195,112
7.91,52.8,2.9,79.5,477,188
10.39,54.6,4.3,88.3,353,200
9.36,54.1,4.8,90.6,165,158
11.41,50.4,5.8,73,424,335
8.86,51.3,2.9,87.5,100,53
8.93,56,2,72.5,95,56
8.92,53.9,1.3,79.5,56,14
8.15,54.9,5.3,79.8,99,71
9.77,50.2,5.3,89.7,154,148
8.54,56.1,2.5,82.5,98,75
8.66,52.8,3.8,69.5,246,177
12.01,52.8,4.8,96.9,298,115
7.95,51.8,2.3,54.9,163,93
10.15,51.9,6.2,59.2,568,371
9.76,53.2,2.6,80.1,64,55
9.89,45.2,4.3,108.7,190,112
7.14,57.6,2.7,92.6,92,50
13.95,65.9,6.6,133.5,356,182
9.44,52.5,4.5,58.5,297,263
10.8,63.9,2.9,57.4,130,62
7.14,51.7,1.4,45.7,115,19
8.02,55,2.1,46.5,91,32
11.8,53.8,5.7,116.9,571,469
9.5,49.3,5.8,70.9,98,46
7.7,56.9,4.4,67.9,129,136
17.94,56.2,5.9,91.8,835,407
9.41,59.5,3.1,91.7,29,22
